source	target	target_id
B cell	B cell	CL:0000236
Bergmann glial cell	Bergmann glial cell	CL:0000644
Brush cell of epithelium proper of large intestine	brush cell of epithelium proper of large intestine	CL:0002203
CD4-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	CL:0000624
CD8-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	CL:0000625
DN3 thymocyte	DN3 thymocyte	CL:0000807
DN4 thymocyte	DN4 thymocyte	CL:0000808
Kupffer cell	Kupffer cell	CL:0000091
Langerhans cell	Langerhans cell	CL:0000453
NK cell	natural killer cell	CL:0000623
Schwann cell	Schwann cell	CL:0002573
T cell	T cell	CL:0000084
adventitial cell	adventitial cell	CL:0002503
alveolar macrophage	alveolar macrophage	CL:0000583
aortic endothelial cell	aortic endothelial cell	CL:0002544
astrocyte	astrocyte	CL:0000127
atrial myocyte	regular atrial cardiac myocyte	CL:0002129
basal cell	basal cell	CL:0000646
basal cell of epidermis	basal cell of epidermis	CL:0002187
basal epithelial cell of tracheobronchial tree	basal epithelial cell of tracheobronchial tree	CL:0002329
basophil	basophil	CL:0000767
bladder cell	bladder cell	CL:1001319
bladder urothelial cell	bladder urothelial cell	CL:1001428
blood cell	blood cell	CL:0000081
brain pericyte	brain pericyte	CL:2000043
bronchial smooth muscle cell	bronchial smooth muscle cell	CL:0002598
brush cell	brush cell	CL:0002204
bulge keratinocyte	keratinocyte stem cell	CL:0002337
cardiac neuron	cardiac neuron	CL:0010022
cardiomyocyte	cardiac muscle cell	CL:0000746
chondrocyte	chondrocyte	CL:0000138
ciliated columnar cell of tracheobronchial tree	ciliated columnar cell of tracheobronchial tree	CL:0002145
classical monocyte	classical monocyte	CL:0000860
club cell of bronchiole	club cell	CL:0000158
dendritic cell	dendritic cell	CL:0000451
double negative T cell	double negative thymocyte	CL:0002489
duct epithelial cell	duct epithelial cell	CL:0000068
early pro-B cell	early pro-B cell	CL:0002046
endocardial cell	endocardial cell	CL:0002350
endothelial cell	endothelial cell	CL:0000115
endothelial cell of coronary artery	endothelial cell of coronary artery	CL:2000018
endothelial cell of hepatic sinusoid	endothelial cell of hepatic sinusoid	CL:1000398
endothelial cell of lymphatic vessel	endothelial cell of lymphatic vessel	CL:0002138
enterocyte of epithelium of large intestine	enterocyte of epithelium of large intestine	CL:0002071
enteroendocrine cell	enteroendocrine cell	CL:0000164
ependymal cell	ependymal cell	CL:0000065
epidermal cell	epidermal cell	CL:0000362
epithelial cell	epithelial cell	CL:0000066
epithelial cell of large intestine	epithelial cell of large intestine	CL:0002253
epithelial cell of proximal tubule	epithelial cell of proximal tubule	CL:0002306
epithelial cell of thymus	epithelial cell of thymus	CL:0002293
erythroblast	erythroblast	CL:0000765
erythrocyte	erythrocyte	CL:0000232
erythroid progenitor	erythroid progenitor cell	CL:0000038
fenestrated cell	fenestrated cell	CL:0000666
fibroblast	fibroblast	CL:0000057
fibroblast of cardiac tissue	fibroblast of cardiac tissue	CL:0002548
fibroblast of lung	fibroblast of lung	CL:0002553
fibrocyte	fibrocyte	CL:0000135
granulocyte	granulocyte	CL:0000094
granulocyte monocyte progenitor cell	granulocyte monocyte progenitor cell	CL:0000557
granulocytopoietic cell	granulocytopoietic cell	CL:0002191
hematopoietic precursor cell	hematopoietic precursor cell	CL:0008001
hematopoietic stem cell	hematopoietic stem cell	CL:0000037
hepatic stellate cell	hepatic stellate cell	CL:0000632
hepatocyte	hepatocyte	CL:0000182
immature B cell	immature B cell	CL:0000816
immature T cell	immature T cell	CL:0002420
intermediate monocyte	intermediate monocyte	CL:0002393
interneuron	interneuron	CL:0000099
