"name","id"
"B cell", "CL:0000236"
"dendritic cell", "nan"
"CD4-positive, alpha-beta T cell", "nan"
"CD8-positive, alpha-beta T cell", "nan"
"duct epithelial cell", "nan"
"erythroblast", "nan"
"endothelial cell of hepatic sinusoid", "CL:1000398"
"granulocyte", "nan"
"hepatic stellate cell", "CL:0000632"
"hepatocyte", "CL:0000182"
"Kupffer cell", "CL:0000091"
"macrophage", "nan"
"neutrophil", "CL:0000775"
"NK cell", "CL:0000623"
"plasmacytoid dendritic cell", "CL:0000784"
"stromal cell", "nan"
"unknown", "nan"
