source	target	target_id
B cell	B cell	CL:0000236
CD4-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	CL:0000624
CD8-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	CL:0000625
GABAergic neuron	GABAergic neuron	CL:0000617
M cell of gut	M cell of gut	CL:0000682
Muller cell	Muller cell	CL:0011107
OFF-bipolar cell	OFF-bipolar cell	CL:0000750
ON-bipolar cell	ON-bipolar cell	CL:0000749
Purkinje myocyte	Purkinje myocyte	CL:0002068
T cell	T cell	CL:0000084
alveolar macrophage	alveolar macrophage	CL:0000583
astrocyte	astrocyte	CL:0000127
basal cell of epidermis	basal cell of epidermis	CL:0002187
basal cell of epithelium of bronchus	basal cell of epithelium of bronchus	CL:1000349
basal cell of epithelium of trachea	basal cell of epithelium of trachea	CL:1000348
basophil	basophil	CL:0000767
bladder urothelial cell	bladder urothelial cell	CL:1001428
brush cell of bronchus	brush cell of bronchus	CL:0002208
brush cell of trachea	brush cell of trachea	CL:0002207
capillary endothelial cell	capillary endothelial cell	CL:0002144
cardiomyocyte	cardiac muscle cell	CL:0000746
cell	cell	CL:0000000
chondrocyte	chondrocyte	CL:0000138
choroid plexus epithelial cell	choroid plexus epithelial cell	CL:0000706
ciliated cell	ciliated cell	CL:0000064
club cell	club cell	CL:0000158
conventional dendritic cell	conventional dendritic cell	CL:0000990
corticotroph	corticotroph	CL:0002309
dendritic cell	dendritic cell	CL:0000451
endothelial cell	endothelial cell	CL:0000115
endothelial cell of artery	endothelial cell of artery	CL:1000413
endothelial cell of hepatic sinusoid	endothelial cell of hepatic sinusoid	CL:1000398
endothelial cell of lymphatic vessel	endothelial cell of lymphatic vessel	CL:0002138
endothelial cell of sinusoid	endothelial cell of sinusoid	CL:0002262
enterocyte of epithelium of large intestine	enterocyte of epithelium of large intestine	CL:0002071
enterocyte of epithelium of small intestine	enterocyte of epithelium of small intestine	CL:1000334
eosinophil	eosinophil	CL:0000771
ependymal cell	ependymal cell	CL:0000065
epidermal cell	epidermal cell	CL:0000362
epithelial cell	epithelial cell	CL:0000066
