source	target	target_id
Differentiating Spermatogonia	spermatogonium	CL:0000020
Early Primary Spermatocytes	primary spermatocyte	CL:0000656
Elongated Spermatids	spermatid	CL:0000018
Endothelial cells	endothelial cell	CL:0000115
Late primary Spermatocytes	primary spermatocyte	CL:0000656
Leydig cells	Leydig cell	CL:0000178
Macrophages	macrophage	CL:0000235
Myoid cells	peritubular myoid cell	CL:0002481
Round Spermatids	spermatid	CL:0000018
Sertoli cells	Sertoli cell	CL:0000216
Sperm	sperm	CL:0000019
Spermatogonial Stem cell	male germ line stem cell (sensu Vertebrata)	CL:0000089
