source	target	target_id
Endothelial	endothelial cell	CL:0000115
Excitatory deep layer 1	glutamatergic neuron	CL:0000679
Excitatory deep layer 2	glutamatergic neuron	CL:0000679
Maturing excitatory	glutamatergic neuron	CL:0000679
Maturing excitatory upper enriched	glutamatergic neuron	CL:0000679
Migrating excitatory	glutamatergic neuron	CL:0000679
IP	neural progenitor cell	CL:0011020
Interneuron CGE	interneuron	CL:0000099
Interneuron MGE	interneuron	CL:0000099
Microglia	microglial cell	CL:0000129
OPC	oligodendrocyte precursor cell	CL:0002453
Pericyte	pericyte	CL:0000669
Cycling Progenitors (G2/M phase)	neural progenitor cell	CL:0011020
Cycling Progenitors (S phase)	neural progenitor cell	CL:0011020
Outer Radial Glia	radial glial cell	CL:0000681
Ventricular Radial Glia	radial glial cell	CL:0000681
